Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Voldaren Epicure,26,24,7,R,1.0,Creature,0.4117647058823529,0.52,0.991774762344752
Black Sun's Twilight,25,27,8,B,1.0,Instant,0.5714285714285714,0.4807692307692308,0.9916088545875389
Thragtusk,50,52,14,G,5.0,Creature,0.875,0.49019607843137253,0.9913997576648582
Displacer Kitten,23,23,7,U,4.0,Creature,0.5833333333333334,0.5,0.9896577787732177
Flooded Strand,50,43,13,,0.0,Land,0.9285714285714286,0.5376344086021505,0.989331110437863
Smuggler's Surprise,21,22,6,G,1.0,Instant,0.8571428571428571,0.4883720930232558,0.9869155512874377
Collective Brutality,35,45,11,B,2.0,Sorcery,0.8461538461538461,0.4375,0.9864847657192646
Ashen Rider,23,29,7,BW,8.0,Creature,0.5384615384615384,0.4423076923076923,0.985926085088096
Glorybringer,44,54,13,R,5.0,Creature,0.8125,0.4489795918367347,0.9853964471090546
Fetid Pools,38,34,10,BU,0.0,Land,0.7692307692307693,0.5277777777777778,0.985270962939154
Steamcore Scholar,20,19,6,U,3.0,Creature,0.6,0.5128205128205128,0.9851466481681276
Feed the Swarm,19,24,6,B,2.0,Sorcery,0.6666666666666666,0.4418604651162791,0.983940781245545
Mystic Confluence,40,41,12,U,5.0,Instant,0.9230769230769231,0.49382716049382713,0.9828825160510752
Orcish Bowmasters,40,38,11,B,2.0,Creature,0.8461538461538461,0.5128205128205128,0.9819416520075468
Lórien Revealed,26,28,8,U,5.0,Sorcery,0.7272727272727273,0.48148148148148145,0.9793051113668458
Confounding Riddle,15,18,6,U,3.0,Instant,0.46153846153846156,0.45454545454545453,0.9787199290651181
Staff of the Storyteller,26,28,7,W,2.0,Artifact,0.5384615384615384,0.48148148148148145,0.97819508405106
Sneak Attack,24,28,7,R,4.0,Enchantment,0.6363636363636364,0.46153846153846156,0.9777483592935807
Chrome Host Seedshark,32,33,10,U,3.0,Creature,0.6666666666666666,0.49230769230769234,0.9777423227010157
Condemn,37,33,10,W,1.0,Instant,0.8333333333333334,0.5285714285714286,0.9775305137090352
Faithless Looting,39,43,11,R,1.0,Sorcery,0.7857142857142857,0.47560975609756095,0.9772252518885045
"Halana and Alena, Partners",20,25,6,GR,4.0,Creature,0.6,0.4444444444444444,0.9765676954796845
Lush Portico,33,32,9,GW,0.0,Land,0.75,0.5076923076923077,0.9755648309498647
Savai Triome,30,30,8,BRW,0.0,Land,0.7272727272727273,0.5,0.9752159966798346
Dragon's Rage Channeler,30,37,10,R,1.0,Creature,0.9090909090909091,0.44776119402985076,0.9734261651038103
Tishana's Tidebinder,36,35,10,U,3.0,Creature,0.7142857142857143,0.5070422535211268,0.9732456367180908
"Heliod, Sun-Crowned",33,34,9,W,3.0,Creature,0.6,0.4925373134328358,0.971832308562709
Warden of the Inner Sky,39,36,10,W,1.0,Creature,0.625,0.52,0.9716934999211467
