Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Savai Triome,30,30,8,BRW,0.0,Land,0.7272727272727273,0.5,0.9752159966798346
Remand,61,38,13,U,2.0,Instant,0.7222222222222222,0.6161616161616161,1.1726173889929798
Control Magic,38,27,10,U,4.0,Enchantment,0.7142857142857143,0.5846153846153846,1.1318152860753308
"Uro, Titan of Nature's Wrath",39,34,10,GU,3.0,Creature,0.7142857142857143,0.5342465753424658,1.0403843160545732
Guardian Scalelord,44,32,10,W,5.0,Creature,0.7142857142857143,0.5789473684210527,1.0485355367392633
Dread Return,30,39,10,B,4.0,Sorcery,0.7142857142857143,0.43478260869565216,0.9620082393086299
Lose Focus,43,29,10,U,2.0,Instant,0.7142857142857143,0.5972222222222222,1.1883612544360158
Escape Tunnel,30,37,10,,0.0,Land,0.7142857142857143,0.44776119402985076,0.8526034392254948
Tishana's Tidebinder,36,35,10,U,3.0,Creature,0.7142857142857143,0.5070422535211268,0.9732456367180908
Indatha Triome,36,37,10,BGW,0.0,Land,0.7142857142857143,0.4931506849315068,0.9610460511411432
Restless Vents,31,37,10,BR,0.0,Land,0.7142857142857143,0.45588235294117646,0.9092954844022778
Monastery Swiftspear,32,42,10,R,1.0,Creature,0.7142857142857143,0.43243243243243246,0.9045737728549138
Glen Elendra Archmage,39,29,10,U,4.0,Creature,0.7142857142857143,0.5735294117647058,1.0582742272199126
Professional Face-Breaker,25,45,10,R,3.0,Creature,0.7142857142857143,0.35714285714285715,0.7686397941711879
Steam Vents,34,32,10,RU,0.0,Land,0.7142857142857143,0.5151515151515151,1.0829243187449564
Mother of Runes,39,35,10,W,1.0,Creature,0.7142857142857143,0.527027027027027,0.9930028367727308
"Nissa, Who Shakes the World",22,27,7,G,5.0,Planeswalker,0.7,0.4489795918367347,0.9647457064835094
Inquisition of Kozilek,23,27,7,B,1.0,Sorcery,0.7,0.46,0.920163955465462
"Nadu, Winged Wisdom",28,21,7,GU,3.0,Creature,0.7,0.5714285714285714,1.0732134126408963
Baleful Strix,18,28,7,BU,2.0,Creature,0.7,0.391304347826087,0.799519073985152
Collector's Cage,35,20,7,W,2.0,Artifact,0.7,0.6363636363636364,1.224978333304641
Archfiend of Ifnir,21,30,7,B,5.0,Creature,0.7,0.4117647058823529,0.8357252937549781
Securitron Squadron,29,22,7,W,2.0,Creature,0.7,0.5686274509803921,1.048263955198351
Raugrin Triome,23,27,7,RUW,0.0,Land,0.7,0.46,0.7990308442614067
Restless Bivouac,35,34,9,RW,0.0,Land,0.6923076923076923,0.5072463768115942,1.086419081216505
Living Death,28,37,9,B,5.0,Sorcery,0.6923076923076923,0.4307692307692308,0.9521315141381761
Arbor Elf,36,34,9,G,1.0,Creature,0.6923076923076923,0.5142857142857142,1.058964756041447
Utopia Sprawl,29,35,9,G,1.0,Enchantment,0.6923076923076923,0.453125,1.0005471227632308
Pest Infestation,28,36,9,G,1.0,Sorcery,0.6923076923076923,0.4375,0.9095618893091377
Exhume,27,36,9,B,2.0,Sorcery,0.6923076923076923,0.42857142857142855,1.0231149702995006
Sacred Foundry,37,29,9,RW,0.0,Land,0.6923076923076923,0.5606060606060606,1.0804936764766604
Blade Splicer,42,24,9,W,3.0,Creature,0.6923076923076923,0.6363636363636364,1.0653038457760047
Twinshot Sniper,39,32,9,R,4.0,Creature,0.6923076923076923,0.5492957746478874,1.0681604287564834
Virtue of Loyalty // Ardenvale Fealty,35,30,9,W,5.0,Enchantment,0.6923076923076923,0.5384615384615384,1.0530652697256484
Ledger Shredder,33,26,9,U,2.0,Creature,0.6923076923076923,0.559322033898305,1.122444902976118
Thraben Inspector,34,26,9,W,1.0,Creature,0.6923076923076923,0.5666666666666667,1.075604382494991
Hallowed Fountain,32,27,9,UW,0.0,Land,0.6923076923076923,0.5423728813559322,0.9998679083928663
Breach the Multiverse,32,29,9,B,7.0,Sorcery,0.6923076923076923,0.5245901639344263,1.0702963942836916
Restless Cottage,40,40,11,BG,0.0,Land,0.6875,0.5,1.0331259783590758
Spyglass Siren,39,39,11,U,1.0,Creature,0.6875,0.5,0.9540042874623794
Deceptive Landscape,26,17,6,BGW,0.0,Land,0.6666666666666666,0.6046511627906976,1.2009749969612067
Triplicate Titan,33,36,10,,9.0,Creature,0.6666666666666666,0.4782608695652174,1.0531742055436013
"Treebeard, Gracious Host",31,29,8,GW,4.0,Creature,0.6666666666666666,0.5166666666666667,1.023924353883517
Knight of the Ebon Legion,26,31,8,B,1.0,Creature,0.6666666666666666,0.45614035087719296,0.9083948922473873
Smirking Spelljacker,23,21,6,U,5.0,Creature,0.6666666666666666,0.5227272727272727,0.956244259706412
Prismari Command,29,28,8,RU,3.0,Instant,0.6666666666666666,0.5087719298245614,1.0547824272483588
Echo of Eons,25,29,8,U,6.0,Sorcery,0.6666666666666666,0.46296296296296297,1.0355484705066433
